,_wpmbiasp,_wp5,_wp4,_wp1,_wp0,_wnmbiasp,_wnmbiasn,_wn8,_wn6,_wn4,_wn0,_nfpmbiasp,_nfp5,_nfp4,_nfp1,_nfp0,_nfnmbiasp,_nfnmbiasn,_nfn8,_nfn6,_nfn4,_nfn0,_lpmbiasp,_lp5,_lp4,_lp1,_lp0,_lnmbiasp,_lnmbiasn,_ln8,_ln6,_ln4,_ln0,fom,gdc,idd,gbw,pm,cload
4704,8.02E-6,9.5E-6,7.38E-6,1.2E-7,1.04E-6,1.36E-6,8.24E-6,6.14E-6,1.2E-7,3.48E-6,1.6E-7,9.0,2.0,1.0,1.0,1.0,3.0,6.0,1.0,1.0,1.0,2.0,1.46E-6,2.2E-7,6.0E-8,6.4E-7,1.8E-7,1.32E-6,9.6E-7,1.92E-6,1.68E-6,1.76E-6,9.4E-7,4729.1,51.696,1.4119E-4,1.1128E8,64.877,6.999999999999999e-12
4705,9.52E-6,9.04E-6,9.18E-6,1.4E-7,9.8E-7,1.58E-6,7.86E-6,5.78E-6,1.2E-7,3.56E-6,2.8E-7,8.0,5.0,1.0,1.0,1.0,11.0,2.0,1.0,1.0,1.0,2.0,1.74E-6,2.8E-7,8.0E-8,5.8E-7,1.4E-7,1.34E-6,1.66E-6,1.02E-6,1.78E-6,1.92E-6,9.2E-7,4291.0,51.652,2.5219E-4,1.8036E8,60.918,6.999999999999999e-12
4706,8.24E-6,9.92E-6,5.96E-6,1.2E-7,1.66E-6,1.14E-6,8.64E-6,4.42E-6,1.2E-7,3.78E-6,1.4E-7,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.82E-6,3.2E-7,6.0E-8,6.8E-7,2.0E-7,1.66E-6,1.24E-6,1.96E-6,1.86E-6,1.98E-6,1.32E-6,4407.7,51.612,1.0238E-4,7.521E7,60.014,6.999999999999999e-12
4707,9.16E-6,9.92E-6,6.38E-6,1.2E-7,1.04E-6,1.28E-6,8.3E-6,3.28E-6,1.2E-7,3.86E-6,1.2E-7,4.0,2.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,1.46E-6,3.4E-7,1.2E-7,8.6E-7,1.6E-7,1.18E-6,1.6E-6,1.74E-6,1.6E-6,2.0E-6,8.4E-7,4972.1,51.609,9.8931E-5,8.1983E7,64.498,6.999999999999999e-12
4708,9.62E-6,8.46E-6,6.78E-6,1.2E-7,1.44E-6,1.7E-6,8.58E-6,2.64E-6,1.2E-7,3.98E-6,1.8E-7,5.0,4.0,1.0,1.0,1.0,14.0,14.0,2.0,1.0,1.0,2.0,1.56E-6,2.6E-7,8.0E-8,4.6E-7,1.4E-7,9.6E-7,1.74E-6,1.1E-6,1.46E-6,1.82E-6,8.6E-7,4758.1,51.606,2.1173E-4,1.6791E8,62.269,6.999999999999999e-12
4709,8.68E-6,1.0E-5,5.9E-6,1.2E-7,1.28E-6,1.32E-6,8.72E-6,4.38E-6,1.2E-7,3.72E-6,1.2E-7,9.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.46E-6,3.2E-7,6.0E-8,7.8E-7,2.6E-7,1.36E-6,1.16E-6,1.94E-6,1.86E-6,1.88E-6,1.18E-6,3478.7,51.553,9.0874E-5,5.2687E7,65.92,6.999999999999999e-12
4710,9.86E-6,1.0E-5,7.76E-6,1.2E-7,1.0E-6,1.56E-6,9.7E-6,3.56E-6,1.2E-7,3.56E-6,1.2E-7,33.0,2.0,1.0,1.0,1.0,7.0,3.0,1.0,1.0,1.0,2.0,1.8E-6,2.4E-7,1.4E-7,7.4E-7,1.6E-7,1.26E-6,1.46E-6,9.0E-7,1.54E-6,1.92E-6,8.8E-7,5009.4,51.471,1.3296E-4,1.1101E8,66.734,6.999999999999999e-12
4711,9.98E-6,7.66E-6,7.38E-6,1.4E-7,1.36E-6,1.48E-6,7.66E-6,6.12E-6,1.2E-7,3.0E-6,2.0E-7,8.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,1.86E-6,1.8E-7,8.0E-8,6.6E-7,1.4E-7,9.8E-7,1.28E-6,1.56E-6,1.12E-6,2.0E-6,1.38E-6,4180.5,51.47,1.8093E-4,1.2606E8,62.207,6.999999999999999e-12
4712,9.04E-6,9.96E-6,9.24E-6,1.2E-7,1.2E-6,1.52E-6,8.1E-6,3.06E-6,1.2E-7,3.84E-6,1.2E-7,2.0,2.0,1.0,1.0,1.0,23.0,8.0,2.0,1.0,1.0,4.0,1.74E-6,2.8E-7,6.0E-8,6.2E-7,1.8E-7,1.86E-6,1.62E-6,1.52E-6,1.68E-6,1.92E-6,1.42E-6,3981.8,51.466,2.1039E-4,1.3962E8,60.195,6.999999999999999e-12
4713,9.04E-6,9.96E-6,9.24E-6,1.2E-7,1.2E-6,1.52E-6,8.1E-6,3.06E-6,1.2E-7,4.08E-6,1.2E-7,4.0,2.0,1.0,1.0,1.0,23.0,8.0,2.0,1.0,1.0,4.0,1.74E-6,2.8E-7,6.0E-8,6.2E-7,1.8E-7,1.86E-6,1.62E-6,1.52E-6,1.68E-6,1.92E-6,1.42E-6,3978.3,51.453,2.103E-4,1.3944E8,60.231,6.999999999999999e-12
